Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,1.000,1.500,Hai phương pháp gần nhau.
cross-doc,Faithfulness,1.000,3.000,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
cross-doc,Multi-hop reasoning,1.000,1.000,Hai phương pháp gần nhau.
cross-doc,Latency (s),0.338,4.546,Flat RAG thường rẻ/nhanh hơn.
cross-doc,Token usage,740.500,793.000,Flat RAG thường rẻ/nhanh hơn.
factoid,Comprehensiveness,2.000,1.000,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
factoid,Faithfulness,1.000,1.000,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,1.000,1.000,Hai phương pháp gần nhau.
factoid,Latency (s),1.076,0.234,GraphRAG không đắt hơn trong sample này.
factoid,Token usage,1178.000,551.000,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,1.000,1.000,Hai phương pháp gần nhau.
multi-hop,Faithfulness,1.000,1.000,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,1.000,1.000,Hai phương pháp gần nhau.
multi-hop,Latency (s),3.389,0.378,GraphRAG không đắt hơn trong sample này.
multi-hop,Token usage,747.500,576.500,GraphRAG không đắt hơn trong sample này.
